ID,Job,jobs2016,jobs2015,jobs2014,jobs2013,jobs2012,jobs2011,earnings2016,earnings2015,earnings2014,earnings2013,earnings2012,earnings2011
HD01_VD316,"Shipping, receiving, and traffic clerks",475270,479565,463500,445945,432927,421487,31175,30934,30729,30682,30107,29744
HD01_VD451,Shoe and leather workers and repairers,8294,6640,6811,6508,5725,6263,26559,29370,22535,26334,25129,26344
HD01_VD452,Shoe machine operators and tenders,2149,2950,3372,4373,3423,3096,23349,24644,26917,21688,23187,25885
HD01_VD410,Signal and track switch repairers,4503,3898,4597,3623,5593,6160,75309,65000,76339,72403,66326,63302
HD01_VD393,Small engine mechanics,33288,33855,36074,31008,35584,32074,32818,32320,33243,31387,35166,31764
HD01_VD29,Social and community service managers,296269,293821,281769,279952,269933,262717,56610,55506,53263,55473,52597,52869
HD01_VD122,Social and human service assistants,146414,134496,132261,94377,94899,94823,37732,37178,35827,35643,33798,34129
HD01_VD117,Social science research assistants,1723,2205,1666,4333,2423,2919,41644,42435,41279,40464,33568,39069
HD01_VD120,Social workers,704192,693187,662207,627085,643964,626537,44669,42350,42403,41940,41629,41458
HD01_VD64,"Software developers, applications and systems software",1124661,1037453,979815,924888,869619,793458,100760,97763,95739,94025,91530,91245
HD01_VD136,Special education teachers,178054,168678,172214,165928,147306,149658,48840,48795,46416,47264,46804,46787
HD01_VD175,Speech-language pathologists,87443,88903,85021,77904,75636,73121,63532,61989,62054,60695,61558,60847
HD01_VD467,Stationary engineers and boiler operators,80093,81300,72810,81858,86835,72261,60018,56459,56372,55732,56704,52085
HD01_VD329,Statistical assistants,15243,14662,13979,17346,18670,17652,50405,48936,45281,41311,40984,45297
HD01_VD74,Statisticians,47469,33912,32115,31319,31551,37977,81345,83209,83461,81209,79460,72149
HD01_VD317,Stock clerks and order fillers,905020,881379,829783,814645,823536,788556,27212,27118,26605,26489,26280,26436
HD01_VD359,Structural iron and steel workers,45672,45673,45105,45516,39599,38781,50902,47794,45592,45603,42359,43346
